Date,transaction_item_ID,Transaction ID,Customer ID,Product ID,total_Price,Customer Name,Customer Gender,Customer Age,Customer Age Range,Customer Address,Product,Product Colors,Product Size
2026-Aug-2,TP00515,T00409,C0008,F-W-M,"1,500",Nut,Male,36,36-40,South,รองเท้า,White,M
2026-Aug-2,TP00524,T00418,C0001,F-B-M,"1,500",Peace,Female,22,21-25,West,รองเท้า,Black,M
2026-Aug-2,TP00526,T00420,C0004,F-R-M,"1,500",Jane,Female,30,26-30,East,รองเท้า,Red,M
2026-Aug-2,TP00596,T00490,C0002,P-B-M,700,Cap,Male,27,26-30,West,กางเกง,Black,M
2026-Aug-2,TP00728,T00622,C0005,P-B-M,700,Kim,Female,41,>40,West,กางเกง,Black,M
2026-Aug-2,TP00781,T00675,C0003,F-B-L,"1,500",Ali,Female,36,36-40,East,รองเท้า,Black,L
2026-Aug-2,TP00810,T00703,C0006,F-R-L,"1,500",Tor,Male,26,26-30,North,รองเท้า,Red,L
2026-Aug-2,TP00827,T00720,C0005,P-B-M,700,Kim,Female,41,>40,West,กางเกง,Black,M
2026-Aug-2,TP00844,T00737,C0004,S-B-M,500,Jane,Female,30,26-30,East,เสื้อ,Black,M
2026-Aug-2,TP00890,T00783,C0010,P-R-L,700,Min,Female,34,31-35,North,กางเกง,Red,L
2026-Aug-2,TP00897,T00790,C0009,B-B-L,1000,Nee,Female,28,26-30,City,กระเป๋า,Black,L
2026-Aug-1,TP00491,T00390,C0002,B-B-L,1000,Cap,Male,27,26-30,West,กระเป๋า,Black,L
2026-Aug-1,TP00492,T00391,C0006,S-W-M,500,Tor,Male,26,26-30,North,เสื้อ,White,M
2026-Aug-1,TP00493,T00392,C0001,S-B-M,500,Peace,Female,22,21-25,West,เสื้อ,Black,M
2026-Aug-1,TP00494,T00392,C0004,S-W-M,500,Jane,Female,30,26-30,East,เสื้อ,White,M
2026-Aug-1,TP00495,T00392,C0008,S-R-L,500,Nut,Male,36,36-40,South,เสื้อ,Red,L
2026-Aug-1,TP00496,T00393,C0008,F-B-L,"1,500",Nut,Male,36,36-40,South,รองเท้า,Black,L
2026-Aug-1,TP00497,T00393,C0004,B-B-M,1000,Jane,Female,30,26-30,East,กระเป๋า,Black,M
2026-Aug-1,TP00498,T00393,C0003,P-B-M,700,Ali,Female,36,36-40,East,กางเกง,Black,M
2026-Aug-1,TP00499,T00394,C0005,S-B-L,500,Kim,Female,41,>40,West,เสื้อ,Black,L
2026-Aug-1,TP00500,T00394,C0009,S-B-M,500,Nee,Female,28,26-30,City,เสื้อ,Black,M
2026-Aug-1,TP00501,T00395,C0005,S-W-L,500,Kim,Female,41,>40,West,เสื้อ,White,L
2026-Aug-1,TP00762,T00656,C0010,F-R-M,"1,500",Min,Female,34,31-35,North,รองเท้า,Red,M
2026-Aug-1,TP00774,T00668,C0009,P-R-M,700,Nee,Female,28,26-30,City,กางเกง,Red,M
2026-Aug-1,TP00793,T00687,C0007,B-B-L,1000,SE,Female,31,31-35,West,กระเป๋า,Black,L
2026-Aug-1,TP00841,T00734,C0005,B-B-L,1000,Kim,Female,41,>40,West,กระเป๋า,Black,L
2026-Aug-1,TP00845,T00738,C0010,B-B-L,1000,Min,Female,34,31-35,North,กระเป๋า,Black,L
2026-Aug-1,TP00873,T00766,C0001,P-B-M,700,Peace,Female,22,21-25,West,กางเกง,Black,M
2026-Aug-1,TP00927,T00820,C0007,S-W-M,500,SE,Female,31,31-35,West,เสื้อ,White,M
2026-Aug-1,TP00930,T00823,C0006,S-R-M,500,Tor,Male,26,26-30,North,เสื้อ,Red,M
2026-Aug-1,TP00936,T00829,C0008,S-B-M,500,Nut,Male,36,36-40,South,เสื้อ,Black,M
2026-Jul-31,TP00479,T00381,C0006,B-B-L,1000,Tor,Male,26,26-30,North,กระเป๋า,Black,L
2026-Jul-31,TP00480,T00382,C0003,B-W-M,1000,Ali,Female,36,36-40,East,กระเป๋า,White,M
2026-Jul-31,TP00481,T00383,C0005,B-R-L,1000,Kim,Female,41,>40,West,กระเป๋า,Red,L
2026-Jul-31,TP00482,T00383,C0008,B-B-L,1000,Nut,Male,36,36-40,South,กระเป๋า,Black,L
2026-Jul-31,TP00483,T00383,C0003,S-B-M,500,Ali,Female,36,36-40,East,เสื้อ,Black,M
2026-Jul-31,TP00484,T00383,C0002,B-W-L,1000,Cap,Male,27,26-30,West,กระเป๋า,White,L
2026-Jul-31,TP00485,T00384,C0002,S-W-M,500,Cap,Male,27,26-30,West,เสื้อ,White,M
2026-Jul-31,TP00486,T00385,C0008,S-R-M,500,Nut,Male,36,36-40,South,เสื้อ,Red,M
2026-Jul-31,TP00487,T00386,C0005,S-B-M,500,Kim,Female,41,>40,West,เสื้อ,Black,M
2026-Jul-31,TP00488,T00387,C0004,B-W-L,1000,Jane,Female,30,26-30,East,กระเป๋า,White,L
2026-Jul-31,TP00489,T00388,C0008,P-B-M,700,Nut,Male,36,36-40,South,กางเกง,Black,M
2026-Jul-31,TP00490,T00389,C0010,B-B-M,1000,Min,Female,34,31-35,North,กระเป๋า,Black,M
2026-Jul-31,TP00504,T00398,C0010,B-B-L,1000,Min,Female,34,31-35,North,กระเป๋า,Black,L
2026-Jul-31,TP00517,T00411,C0001,B-B-L,1000,Peace,Female,22,21-25,West,กระเป๋า,Black,L
2026-Jul-31,TP00602,T00496,C0010,S-R-L,500,Min,Female,34,31-35,North,เสื้อ,Red,L
2026-Jul-31,TP00650,T00544,C0009,F-B-M,"1,500",Nee,Female,28,26-30,City,รองเท้า,Black,M
2026-Jul-31,TP00661,T00555,C0004,P-B-M,700,Jane,Female,30,26-30,East,กางเกง,Black,M
2026-Jul-31,TP00674,T00568,C0005,S-R-L,500,Kim,Female,41,>40,West,เสื้อ,Red,L
2026-Jul-31,TP00683,T00577,C0003,P-B-M,700,Ali,Female,36,36-40,East,กางเกง,Black,M
2026-Jul-31,TP00701,T00595,C0001,S-B-M,500,Peace,Female,22,21-25,West,เสื้อ,Black,M
2026-Jul-31,TP00720,T00614,C0003,F-W-L,"1,500",Ali,Female,36,36-40,East,รองเท้า,White,L
2026-Jul-31,TP00735,T00629,C0008,B-W-L,1000,Nut,Male,36,36-40,South,กระเป๋า,White,L
2026-Jul-31,TP00763,T00657,C0005,B-W-M,1000,Kim,Female,41,>40,West,กระเป๋า,White,M
2026-Jul-31,TP00788,T00682,C0004,B-B-L,1000,Jane,Female,30,26-30,East,กระเป๋า,Black,L
2026-Jul-31,TP00836,T00729,C0003,F-B-L,"1,500",Ali,Female,36,36-40,East,รองเท้า,Black,L
2026-Jul-31,TP00885,T00778,C0005,P-W-L,700,Kim,Female,41,>40,West,กางเกง,White,L
2026-Jul-31,TP00920,T00813,C0004,B-W-L,1000,Jane,Female,30,26-30,East,กระเป๋า,White,L
2026-Jul-31,TP00977,T00870,C0001,S-R-L,500,Peace,Female,22,21-25,West,เสื้อ,Red,L
2026-Jul-30,TP00469,T00373,C0004,S-B-M,500,Jane,Female,30,26-30,East,เสื้อ,Black,M
2026-Jul-30,TP00470,T00374,C0004,B-B-M,1000,Jane,Female,30,26-30,East,กระเป๋า,Black,M
2026-Jul-30,TP00471,T00375,C0007,B-R-L,1000,SE,Female,31,31-35,West,กระเป๋า,Red,L
2026-Jul-30,TP00472,T00375,C0003,S-R-M,500,Ali,Female,36,36-40,East,เสื้อ,Red,M
2026-Jul-30,TP00473,T00376,C0008,B-B-M,1000,Nut,Male,36,36-40,South,กระเป๋า,Black,M
2026-Jul-30,TP00474,T00376,C0006,S-W-M,500,Tor,Male,26,26-30,North,เสื้อ,White,M
2026-Jul-30,TP00475,T00377,C0007,P-B-M,700,SE,Female,31,31-35,West,กางเกง,Black,M
2026-Jul-30,TP00476,T00378,C0003,B-W-M,1000,Ali,Female,36,36-40,East,กระเป๋า,White,M
2026-Jul-30,TP00477,T00379,C0003,F-W-M,"1,500",Ali,Female,36,36-40,East,รองเท้า,White,M
2026-Jul-30,TP00478,T00380,C0009,F-R-M,"1,500",Nee,Female,28,26-30,City,รองเท้า,Red,M
2026-Jul-30,TP00555,T00449,C0009,B-B-M,1000,Nee,Female,28,26-30,City,กระเป๋า,Black,M
2026-Jul-30,TP00583,T00477,C0005,B-B-M,1000,Kim,Female,41,>40,West,กระเป๋า,Black,M
2026-Jul-30,TP00586,T00480,C0010,B-R-L,1000,Min,Female,34,31-35,North,กระเป๋า,Red,L
2026-Jul-30,TP00640,T00534,C0009,S-R-L,500,Nee,Female,28,26-30,City,เสื้อ,Red,L
2026-Jul-30,TP00695,T00589,C0004,F-B-M,"1,500",Jane,Female,30,26-30,East,รองเท้า,Black,M
2026-Jul-30,TP00718,T00612,C0001,B-B-M,1000,Peace,Female,22,21-25,West,กระเป๋า,Black,M
2026-Jul-30,TP00732,T00626,C0001,B-R-L,1000,Peace,Female,22,21-25,West,กระเป๋า,Red,L
2026-Jul-30,TP00745,T00639,C0009,F-W-M,"1,500",Nee,Female,28,26-30,City,รองเท้า,White,M
2026-Jul-30,TP00772,T00666,C0002,P-W-L,700,Cap,Male,27,26-30,West,กางเกง,White,L
2026-Jul-30,TP00785,T00679,C0004,F-W-L,"1,500",Jane,Female,30,26-30,East,รองเท้า,White,L
2026-Jul-30,TP00814,T00707,C0009,S-R-M,500,Nee,Female,28,26-30,City,เสื้อ,Red,M
2026-Jul-30,TP00830,T00723,C0005,B-B-M,1000,Kim,Female,41,>40,West,กระเป๋า,Black,M
2026-Jul-30,TP00854,T00747,C0009,P-W-M,700,Nee,Female,28,26-30,City,กางเกง,White,M
2026-Jul-30,TP00901,T00794,C0002,B-B-M,1000,Cap,Male,27,26-30,West,กระเป๋า,Black,M
2026-Jul-30,TP00914,T00807,C0007,B-B-M,1000,SE,Female,31,31-35,West,กระเป๋า,Black,M
2026-Jul-30,TP00921,T00814,C0005,P-W-M,700,Kim,Female,41,>40,West,กางเกง,White,M
2026-Jul-29,TP00451,T00359,C0004,S-B-L,500,Jane,Female,30,26-30,East,เสื้อ,Black,L
2026-Jul-29,TP00452,T00360,C0005,B-W-M,1000,Kim,Female,41,>40,West,กระเป๋า,White,M
2026-Jul-29,TP00453,T00361,C0006,S-B-M,500,Tor,Male,26,26-30,North,เสื้อ,Black,M
2026-Jul-29,TP00454,T00362,C0008,P-B-M,700,Nut,Male,36,36-40,South,กางเกง,Black,M
2026-Jul-29,TP00455,T00362,C0003,S-B-M,500,Ali,Female,36,36-40,East,เสื้อ,Black,M
2026-Jul-29,TP00456,T00363,C0001,B-R-L,1000,Peace,Female,22,21-25,West,กระเป๋า,Red,L
2026-Jul-29,TP00457,T00364,C0008,B-R-L,1000,Nut,Male,36,36-40,South,กระเป๋า,Red,L
2026-Jul-29,TP00458,T00365,C0002,B-B-M,1000,Cap,Male,27,26-30,West,กระเป๋า,Black,M
2026-Jul-29,TP00459,T00366,C0009,P-W-M,700,Nee,Female,28,26-30,City,กางเกง,White,M
2026-Jul-29,TP00460,T00366,C0003,S-W-L,500,Ali,Female,36,36-40,East,เสื้อ,White,L
2026-Jul-29,TP00461,T00367,C0002,S-B-L,500,Cap,Male,27,26-30,West,เสื้อ,Black,L
2026-Jul-29,TP00462,T00368,C0006,P-B-M,700,Tor,Male,26,26-30,North,กางเกง,Black,M
2026-Jul-29,TP00463,T00368,C0007,F-B-L,"1,500",SE,Female,31,31-35,West,รองเท้า,Black,L
2026-Jul-29,TP00464,T00369,C0010,F-B-M,"1,500",Min,Female,34,31-35,North,รองเท้า,Black,M
2026-Jul-29,TP00465,T00370,C0001,F-R-L,"1,500",Peace,Female,22,21-25,West,รองเท้า,Red,L
2026-Jul-29,TP00466,T00371,C0005,F-W-L,"1,500",Kim,Female,41,>40,West,รองเท้า,White,L
2026-Jul-29,TP00467,T00371,C0004,F-R-L,"1,500",Jane,Female,30,26-30,East,รองเท้า,Red,L
2026-Jul-29,TP00468,T00372,C0003,F-R-M,"1,500",Ali,Female,36,36-40,East,รองเท้า,Red,M
2026-Jul-29,TP00542,T00436,C0006,F-B-M,"1,500",Tor,Male,26,26-30,North,รองเท้า,Black,M
2026-Jul-29,TP00673,T00567,C0009,B-R-L,1000,Nee,Female,28,26-30,City,กระเป๋า,Red,L
2026-Jul-29,TP00688,T00582,C0004,S-B-M,500,Jane,Female,30,26-30,East,เสื้อ,Black,M
2026-Jul-29,TP00858,T00751,C0007,B-B-L,1000,SE,Female,31,31-35,West,กระเป๋า,Black,L
2026-Jul-29,TP00866,T00759,C0003,B-W-L,1000,Ali,Female,36,36-40,East,กระเป๋า,White,L
2026-Jul-29,TP00973,T00866,C0004,B-R-M,1000,Jane,Female,30,26-30,East,กระเป๋า,Red,M
2026-Jul-28,TP00437,T00348,C0002,F-W-L,"1,500",Cap,Male,27,26-30,West,รองเท้า,White,L
2026-Jul-28,TP00438,T00348,C0008,B-R-M,1000,Nut,Male,36,36-40,South,กระเป๋า,Red,M
2026-Jul-28,TP00439,T00349,C0003,P-B-M,700,Ali,Female,36,36-40,East,กางเกง,Black,M
2026-Jul-28,TP00440,T00350,C0001,S-R-L,500,Peace,Female,22,21-25,West,เสื้อ,Red,L
2026-Jul-28,TP00441,T00350,C0003,P-B-L,700,Ali,Female,36,36-40,East,กางเกง,Black,L
2026-Jul-28,TP00442,T00351,C0005,P-R-L,700,Kim,Female,41,>40,West,กางเกง,Red,L
2026-Jul-28,TP00443,T00352,C0006,F-B-M,"1,500",Tor,Male,26,26-30,North,รองเท้า,Black,M
2026-Jul-28,TP00444,T00353,C0003,F-B-L,"1,500",Ali,Female,36,36-40,East,รองเท้า,Black,L
2026-Jul-28,TP00445,T00353,C0005,S-W-L,500,Kim,Female,41,>40,West,เสื้อ,White,L
2026-Jul-28,TP00446,T00354,C0005,S-R-L,500,Kim,Female,41,>40,West,เสื้อ,Red,L
2026-Jul-28,TP00447,T00355,C0001,F-R-L,"1,500",Peace,Female,22,21-25,West,รองเท้า,Red,L
2026-Jul-28,TP00448,T00356,C0008,F-W-L,"1,500",Nut,Male,36,36-40,South,รองเท้า,White,L
2026-Jul-28,TP00449,T00357,C0003,P-B-L,700,Ali,Female,36,36-40,East,กางเกง,Black,L
2026-Jul-28,TP00450,T00358,C0006,F-W-L,"1,500",Tor,Male,26,26-30,North,รองเท้า,White,L
2026-Jul-28,TP00621,T00515,C0004,B-B-M,1000,Jane,Female,30,26-30,East,กระเป๋า,Black,M
2026-Jul-28,TP00652,T00546,C0007,B-W-M,1000,SE,Female,31,31-35,West,กระเป๋า,White,M
2026-Jul-28,TP00689,T00583,C0001,S-B-L,500,Peace,Female,22,21-25,West,เสื้อ,Black,L
